Activity (orders+deliveries),Product,Manufacturer,Category,Form,EPA Reg # (verify vs current label),RUP? (yes/no),REI hours,PHI days,Follow-up interval days,PHI notes (per crop if it varies),Max rate per season,Signal word (Caution/Warning/Danger),Label verified on (date),Verified by
34,"Gen Liberty: (Cheetah, Glufosinate, Opportunity, Reckon) - Bulk","Various","Post Emergence","liquid","",,,,,,,,,
21,"Roundup 5.4# Generic (Ag Saver 5.4, Slam 5.4) - Bulk","Various","Post Emergence","liquid","524-473",,,,,,,,,
18,"Atrazine 4L - Bulk","Various","Post Emergence","liquid","352-314",,,,,,,,,
17,"Gen Select 2LB: (Ceridian 2EC, Clethodim 2EC, Volunteer) - 2.5 Gal","Various","Volunteer Corn","liquid","",,,,,,,,,
16,"Gen Callisto: (Argos, Calleron, Cavallo, Meso 4SC, Mesotrione) - 1 or 2.5","Various","Post Emergence","liquid","",,,,,,,,,
13,"Zidua SC - 2.5 Gal","BASF","Pre-Emerge Soybean","liquid","7969-344",,,,,,,,,
10,"Gen Warrior 1LB: (Ravage, Lambda Cy, Labamba, Serpent) - 1 Gal","Various","Insecticide","liquid","",,,,,,,,,
10,"Gen Callisto: High Quality (Explorer, Incinerate) - 1 Gal","Various","Post Emergence","liquid","",,,,,,,,,
10,"Generic Stinger: (Bite, CleanSlate, Spur, Stigmata) - 2.5 Gal","Various","Pre-Emerge Corn","liquid","",,,,,,,,,
9,"Gen Baythroid XL: (Cryptoid XL) - 1 Gal","Various","Insecticide","liquid","",,,,,,,,,
9,"Gen Leverage 360: (Cryptonyx 360) - 1 Gal","Various","Insecticide","liquid","",,,,,,,,,
9,"Gen Paraquat: (Parashot 3.0, Helmquat 3SL, Paraquat 3SL) - Bulk","Various","Post Emergence","liquid","",,,,,,,,,
9,"Gen Dual S Moc: (Visor S Moc II, Medal II, Moccasin II Plus, StreliuS II, Bra","Various","Pre-Emerge Soybean","liquid","",,,,,,,,,
8,"Anthem Maxx - 2.5 Gal","FMC","Pre-Emerge Soybean","liquid","279-3468",,,,,,,,,
